# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ST-F-01;1;2024-10-11 10:31:15 UTC;0.00;180.00;386.00;0.00;1454.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:16 UTC;4.00;64.00;517.00;0.00;524.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:17 UTC;0.00;108.00;3255.00;0.00;7552.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:18 UTC;4.00;0.00;356.00;0.00;357.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:19 UTC;0.00;4.00;345.00;0.00;412.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:20 UTC;0.00;0.00;1820.00;0.00;1348.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:21 UTC;0.00;44.00;343.00;0.00;383.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:22 UTC;0.00;20.00;618.00;0.00;2657.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:23 UTC;0.00;112.00;348.00;0.00;392.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:24 UTC;0.00;0.00;914.00;0.00;1819.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:25 UTC;0.00;180.00;1768.00;0.00;1510.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:26 UTC;0.00;0.00;418.00;0.00;394.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:27 UTC;0.00;228.00;2021.00;0.00;951.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:28 UTC;0.00;0.00;356.00;0.00;349.00;0.00;0.00;0.00;0.00;0.00
